otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Ruminococcaceae (OTU 101)	20.993914807302243	2.7620359237226195e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	4.084236586050684e-4
Lachnospiraceae (OTU 49)	20.595497164299196	3.370890264169258e-5	2	Kruskal-Wallis rank sum test	0	0	0.004	4.567556307949345e-4
Lachnospiraceae (OTU 4)	20.47162035775514	3.5862793994062375e-5	2	Kruskal-Wallis rank sum test	0	0.034	0.027	4.628008177329002e-4
Ruminococcaceae (OTU 50)	19.17306695405435	6.864697594644937e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	8.456059309767172e-4
Lachnospiraceae (OTU 24)	18.716479384488775	8.625179486465135e-5	2	Kruskal-Wallis rank sum test	0	0.004	0.005	0.0010162711481878485
Ruminococcaceae (OTU 52)	18.50140157669905	9.604432173028784e-5	2	Kruskal-Wallis rank sum test	0	0.002	0	0.0010845004662045
Ruminococcaceae (OTU 118)	18.401009657594404	1.0098840711028024e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0010947143330754378
Lachnospiraceae (OTU 73)	18.1920712870443	1.1210937019880112e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0011685245893798117
Erysipelotrichaceae (OTU 39)	17.914935756023603	1.287719074412284e-4	2	Kruskal-Wallis rank sum test	0.002	0	0.004	0.0012924884043175146
Lachnospiraceae (OTU 46)	16.807067066404247	2.2407415020136973e-4	2	Kruskal-Wallis rank sum test	0	0	0.004	0.0021687176680204
Lachnospiraceae (OTU 86)	16.513292290959303	2.595279522188553e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0024252439672865444
Lachnospiraceae (OTU 90)	16.00079964016198	3.35328530016755e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.002839813488579394
Lachnospiraceae (OTU 111)	16.00079964016198	3.35328530016755e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.002839813488579394
Lachnospiraceae (OTU 144)	16.00079964016198	3.35328530016755e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.002839813488579394
Ruminococcaceae (OTU 59)	15.66961460970419	3.9571856063330793e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0031794315938733415
Ruminococcaceae (OTU 61)	15.653622276990404	3.9889547672211667e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0031794315938733415
Lachnospiraceae (OTU 11)	15.5653299542958	4.1689966478319456e-4	2	Kruskal-Wallis rank sum test	0	0.008	0.009	0.0032279945473213064
Lachnospiraceae (OTU 66)	15.507915937049924	4.2904104461269376e-4	2	Kruskal-Wallis rank sum test	0	0	0.001	0.0032297256413900003
Peptostreptococcaceae (OTU 12)	15.34333092996097	4.6584133484543446e-4	2	Kruskal-Wallis rank sum test	0.0055	0	0	0.0034119730200841284
Acetatifactor (OTU 55)	14.993063150210078	5.550060323903875e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0039367494860464095
Lachnospiraceae (OTU 88)	14.951914148933163	5.665432839697784e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0039367494860464095
Lachnospiraceae (OTU 20)	14.260110444886609	8.006751710321847e-4	2	Kruskal-Wallis rank sum test	0	0.001	0.01	0.005424574283743051
Lachnospiraceae (OTU 34)	13.667270699749126	0.0010769359537195933	2	Kruskal-Wallis rank sum test	0	0	0	0.006948801034714519
Lachnospiraceae (OTU 125)	13.686730506155985	0.0010665082835108744	2	Kruskal-Wallis rank sum test	0	0	0	0.006948801034714519
Pseudoflavonifractor (OTU 69)	13.49102353517512	0.0011761466115539835	2	Kruskal-Wallis rank sum test	0	0.001	0	0.007412458877468129
Ruminococcaceae (OTU 106)	13.188741405653168	0.0013680475483410187	2	Kruskal-Wallis rank sum test	0	0.001	0	0.008425929218191274
Lachnospiraceae (OTU 127)	12.513278090015303	0.001917680214572042	2	Kruskal-Wallis rank sum test	0	0	0.001	0.01154869640331163
Lachnospiraceae (OTU 70)	12.33588366213685	0.0020955445498201833	2	Kruskal-Wallis rank sum test	0.001	0	0.001	0.012345490717418906
Lachnospiraceae (OTU 62)	11.775884317796871	0.0027726765579815823	2	Kruskal-Wallis rank sum test	0	0	0.001	0.015987135047085294
Clostridiales (OTU 97)	11.444216145226497	0.0032728043159614933	2	Kruskal-Wallis rank sum test	0	0	0	0.018100611625011524
Lachnospiraceae (OTU 131)	11.448338701474777	0.0032660651041015692	2	Kruskal-Wallis rank sum test	0	0	0	0.018100611625011524
Porphyromonadaceae (OTU 8)	11.153391331094388	0.0037850519553314166	2	Kruskal-Wallis rank sum test	0	0	0	0.020112727056761055
Ruminococcaceae (OTU 60)	11.185629406613712	0.003724529651015555	2	Kruskal-Wallis rank sum test	0	0	0	0.020112727056761055
Lachnospiraceae (OTU 41)	11.03019417343621	0.0040255364933603575	2	Kruskal-Wallis rank sum test	0	0	0	0.02097923826347417
Lachnospiraceae (OTU 77)	10.860217058191537	0.004382620135056998	2	Kruskal-Wallis rank sum test	0	0.001	0	0.02240924635095182
Ruminococcaceae (OTU 143)	10.562564121187894	0.005085906171226211	2	Kruskal-Wallis rank sum test	0	0	0	0.02552371430374635
Oscillibacter (OTU 57)	10.487609010222958	0.00528013029169268	2	Kruskal-Wallis rank sum test	0	0	0	0.025835016304665937
Lachnospiraceae (OTU 63)	10.465583232560196	0.005338601155207721	2	Kruskal-Wallis rank sum test	0	0	0	0.025835016304665937
Akkermansia (OTU 3)	10.264207090311894	0.005904127802484658	2	Kruskal-Wallis rank sum test	0.012	0.391	0.088	0.028070502359181446
Lachnospiraceae (OTU 74)	10.081786725385347	0.006467967495630206	2	Kruskal-Wallis rank sum test	0	0	0	0.030221020539927344
Akkermansia (OTU 352)	9.989429175475847	0.006773654107043912	2	Kruskal-Wallis rank sum test	0	0	0	0.031112885813710175
Clostridium (OTU 126)	9.33186170874265	0.009410484354702264	2	Kruskal-Wallis rank sum test	0	0	0	0.04113292355039216
Blautia (OTU 132)	9.341736694677829	0.009364134674152763	2	Kruskal-Wallis rank sum test	0	0	0	0.04113292355039216
Lachnospiraceae (OTU 160)	9.361549497847877	0.009271827765120097	2	Kruskal-Wallis rank sum test	0	0	0	0.04113292355039216
Porphyromonadaceae (OTU 7)	8.886159558587337	0.01175966551764036	2	Kruskal-Wallis rank sum test	0	0	0	0.04879313049426783
Lactobacillus (OTU 9)	8.929445302871626	0.011507887013365277	2	Kruskal-Wallis rank sum test	0.0135	0.019	0.002	0.04879313049426783
Lactobacillus (OTU 13)	8.885810768681758	0.011761716522790408	2	Kruskal-Wallis rank sum test	0.0035	0.015	0.006	0.04879313049426783
Lachnospiraceae (OTU 110)	8.835183892161359	0.012063246284560682	2	Kruskal-Wallis rank sum test	0	0	0	0.04879313049426783
Clostridiales (OTU 115)	8.857081698361275	0.01193188740002513	2	Kruskal-Wallis rank sum test	0	0	0	0.04879313049426783
Lachnospiraceae (OTU 81)	8.550776137772054	0.013906650933113019	2	Kruskal-Wallis rank sum test	0	0	0	0.055422094159906295
Porphyromonadaceae (OTU 14)	8.502323616392133	0.014247671228325275	2	Kruskal-Wallis rank sum test	0	0	0	0.05595824496921956
Acetatifactor (OTU 79)	8.274647328583432	0.015965523477362457	2	Kruskal-Wallis rank sum test	0	0	0	0.06180938374807466
Lachnospiraceae (OTU 76)	8.171189991838565	0.016813132593995465	2	Kruskal-Wallis rank sum test	0	0	0.001	0.06417406947848973
Lachnospiraceae (OTU 36)	8.004545264420042	0.018274061440867278	2	Kruskal-Wallis rank sum test	0	0	0	0.06878153681215322
Lachnospiraceae (OTU 84)	7.776964715895831	0.020476398312012662	2	Kruskal-Wallis rank sum test	0	0	0	0.07601512250075934
Bacteria (OTU 43)	7.292052598013903	0.026094615228925366	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 47)	7.381221719457042	0.024956752310085813	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 71)	7.2939353898027	0.026070061424521635	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 75)	7.363783263246093	0.025175307357269864	2	Kruskal-Wallis rank sum test	0	0	0.001	0.08222838054696249
Lachnospiraceae (OTU 85)	7.2939353898027	0.026070061424521635	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Anaeroplasma (OTU 89)	7.292052598013903	0.026094615228925366	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 102)	7.342091644498505	0.025449840015093032	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Bacteria (OTU 108)	7.2939353898027	0.026070061424521635	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 112)	7.292052598013903	0.026094615228925366	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Firmicutes (OTU 129)	7.2939353898027	0.026070061424521635	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Clostridiales (OTU 154)	7.2939353898027	0.026070061424521635	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Clostridium (OTU 172)	7.310924369747893	0.02584954745198586	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Lachnospiraceae (OTU 180)	7.299589603283168	0.025996462662947542	2	Kruskal-Wallis rank sum test	0	0	0	0.08222838054696249
Ruminococcaceae (OTU 27)	7.16251136460536	0.027840717201414494	2	Kruskal-Wallis rank sum test	0	0	0	0.08672223404118767
Acetatifactor (OTU 78)	7.09996934500499	0.028725079934456256	2	Kruskal-Wallis rank sum test	0	0	0	0.08846018934360961
Lactobacillus (OTU 23)	7.062621564637151	0.02926652866560359	2	Kruskal-Wallis rank sum test	0.003	0.008	0.004	0.08911493559975925
Lachnospiraceae (OTU 16)	6.915487635205907	0.03150075334875761	2	Kruskal-Wallis rank sum test	0.005	0.009	0.004	0.09448674966210384
Lachnospiraceae (OTU 82)	6.901109967784391	0.03172802294926734	2	Kruskal-Wallis rank sum test	0	0	0	0.09448674966210384
Lachnospiraceae (OTU 83)	6.520244461420915	0.03838370606314536	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Lachnospiraceae (OTU 140)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Veillonella (OTU 192)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Clostridiales (OTU 199)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Coriobacteriaceae (OTU 204)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Lachnospiraceae (OTU 205)	6.666666666666691	0.035673993347251964	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Lachnospiraceae (OTU 227)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Lachnospiraceae (OTU 305)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Lachnospiraceae (OTU 317)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Clostridium (OTU 572)	6.508264462809848	0.038614314418230475	2	Kruskal-Wallis rank sum test	0	0	0	0.10360870502317286
Clostridiales (OTU 91)	6.393514630996404	0.04089459748464164	2	Kruskal-Wallis rank sum test	0	0	0.001	0.10865133253272434
Dorea (OTU 134)	5.803323768531861	0.05493185377385676	2	Kruskal-Wallis rank sum test	0	0	0	0.1445294405117979
Lachnospiraceae (OTU 72)	5.694856439245523	0.057993275221032044	2	Kruskal-Wallis rank sum test	0	0	0	0.15111709216249697
Oscillibacter (OTU 119)	5.5627232165555345	0.06195409271506635	2	Kruskal-Wallis rank sum test	0	0	0	0.15990056310269507
Lachnospiraceae (OTU 94)	5.350267379679238	0.06889761686758335	2	Kruskal-Wallis rank sum test	0	0	0	0.17288198306588043
Lachnospiraceae (OTU 163)	5.350267379679238	0.06889761686758335	2	Kruskal-Wallis rank sum test	0	0	0	0.17288198306588043
Lachnospiraceae (OTU 174)	5.350267379679238	0.06889761686758335	2	Kruskal-Wallis rank sum test	0	0	0	0.17288198306588043
Lachnospiraceae (OTU 64)	5.268645114346721	0.07176757137061715	2	Kruskal-Wallis rank sum test	0	0	0	0.17843130129758944
Lachnospiraceae (OTU 103)	5.123090918717526	0.07718536138021088	2	Kruskal-Wallis rank sum test	0	0	0	0.19015666303670137
Lachnospiraceae (OTU 26)	5.007423475840629	0.0817808853653217	2	Kruskal-Wallis rank sum test	0	0	0.002	0.1996632426486683
Ruminococcaceae (OTU 147)	4.9872676343265825	0.08260923365077714	2	Kruskal-Wallis rank sum test	0	0	0	0.19988484213714827
Lachnospiraceae (OTU 167)	4.933742011216892	0.0848499390517116	2	Kruskal-Wallis rank sum test	0	0	0	0.2034896768408305
Anaerostipes (OTU 159)	4.877145742174282	0.08728533003553068	2	Kruskal-Wallis rank sum test	0	0	0	0.20749407403183173
Lachnospiraceae (OTU 113)	4.301817458406719	0.11637835329868854	2	Kruskal-Wallis rank sum test	0	0	0	0.27424811951256167
Blautia (OTU 19)	3.5194426072165883	0.17209281878793697	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 35)	3.489304812834109	0.17470570499590904	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 42)	3.555285577763798	0.16903613186685132	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 58)	3.810497914780591	0.14878559673703107	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Firmicutes (OTU 96)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Enterorhabdus (OTU 109)	3.7391891917194995	0.15418615685275938	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.3050476450502799
Lachnospiraceae (OTU 117)	3.489304812834109	0.17470570499590904	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 120)	3.2843137254901342	0.1935621048432658	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 124)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 128)	3.527971202310303	0.17136052626922454	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 136)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Acetatifactor (OTU 138)	3.520499108734302	0.17200193463274382	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 141)	3.2378829991260156	0.19810828584734655	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridium (OTU 145)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 148)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 149)	3.1818181818181377	0.2037403090557117	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 152)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Firmicutes (OTU 155)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Coriobacteriaceae (OTU 158)	3.529803052041281	0.17120364475905692	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 161)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 164)	3.4875816993462885	0.17485628873315043	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Enterobacteriaceae (OTU 176)	3.587033121916805	0.16637407517526526	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteroides (OTU 178)	3.4644674773499995	0.1768888448858425	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 181)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Enterococcus (OTU 187)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 197)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Firmicutes (OTU 198)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Ruminococcaceae (OTU 207)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 239)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Akkermansia (OTU 264)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridium (OTU 268)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Alistipes (OTU 289)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 295)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 326)	3.1818181818181377	0.2037403090557117	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 329)	3.489304812834109	0.17470570499590904	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Akkermansia (OTU 347)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Ruminococcaceae (OTU 357)	3.489304812834109	0.17470570499590904	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Enterorhabdus (OTU 358)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 359)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Butyricicoccus (OTU 402)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 434)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Anaerofustis (OTU 443)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Akkermansia (OTU 458)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Megasphaera (OTU 472)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Burkholderiales (OTU 522)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 546)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Sutterella (OTU 628)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 630)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Clostridiales (OTU 680)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 682)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteria (OTU 708)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 845)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 886)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Turicibacter (OTU 900)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Blautia (OTU 970)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lactobacillaceae (OTU 1035)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Paraprevotella (OTU 1529)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Succiniclasticum (OTU 1572)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteroides (OTU 1958)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 2595)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 2701)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Ruminococcaceae (OTU 2717)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteria (OTU 3690)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Bacteria (OTU 3739)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Pasteurellaceae (OTU 3951)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 5388)	3.1818181818180364	0.203740309055722	2	Kruskal-Wallis rank sum test	0	0	0	0.3050476450502799
Lachnospiraceae (OTU 150)	3.072553576039233	0.2151807754663836	2	Kruskal-Wallis rank sum test	0	0	0	0.3204065392933514
Coriobacteriaceae (OTU 260)	2.921918767507091	0.23201357786375792	2	Kruskal-Wallis rank sum test	0	0	0	0.3435829486397727
Lachnospiraceae (OTU 123)	2.759918705774257	0.25158877920942907	2	Kruskal-Wallis rank sum test	0	0	0	0.3705465172051917
Lachnospiraceae (OTU 68)	2.4960097982959355	0.28707697340968563	2	Kruskal-Wallis rank sum test	0	0	0	0.42052897185959354
Turicibacter (OTU 5)	1.6609200434919082	0.43584874029882226	2	Kruskal-Wallis rank sum test	0.016	0.011	0.025	0.4921122462993577
Porphyromonadaceae (OTU 21)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Bacteroidales (OTU 38)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Porphyromonadaceae (OTU 40)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Porphyromonadaceae (OTU 44)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Olsenella (OTU 114)	1.6734008756922238	0.4331373317605225	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 116)	2.1125425376763243	0.34775006236563755	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 121)	2.146083574834971	0.3419667436567409	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 135)	2.1338626329023795	0.34406271869099353	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 157)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Streptococcus (OTU 166)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Ruminococcaceae (OTU 169)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 177)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 183)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 184)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Clostridium (OTU 186)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Lachnospiraceae (OTU 189)	2.1125425376763243	0.34775006236563755	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Prevotella (OTU 191)	1.5555555555555338	0.4594258240359317	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Akkermansia (OTU 200)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
Clostridium (OTU 201)	1.705882352941454	0.4261596760770434	2	Kruskal-Wallis rank sum test	0	0	0	0.4921122462993577
