genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Anaerofustis	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Anaerostipes	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Anaerotruncus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Atopobium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Atopostipes	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Aurantimonadaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bacillaceae 1 Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bacillales Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bacilli Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bacillus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bacteroidetes Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Barnesiella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Betaproteobacteria Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bifidobacteriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bilophila	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Brachybacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Bradyrhizobium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Brucellaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Burkholderia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Burkholderiales Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Butyricimonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Butyrivibrio	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Campylobacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Carnobacteriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Catonella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Chitinophagaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Cloacibacillus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Cloacibacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Clostridia Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Clostridiaceae 1 Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Clostridium XI	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Clostridium XVIII	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Collinsella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Comamonadaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Corynebacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Curvibacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Cystobacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Desulfovibrio	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Devosia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Dialister	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Dysgonomonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Eubacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Faecalibacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Finegoldia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Flavobacteriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Flavobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Flavonifractor	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Fusicatenibacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Fusobacteriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Fusobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Gemella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Gemmata	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Geobacillus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Granulicatella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Hungatella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Hyphomicrobium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Janthinobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Jeotgalicoccus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Lactobacillaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Lactobacillales Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Lactococcus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Leptotrichia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Listeria	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Lysobacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Mannheimia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Marmoricola	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Megasphaera	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Methylobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Morganella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Mucispirillum	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Neisseria	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Neisseriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Odoribacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Paraprevotella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Parasutterella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Parvimonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Pasteurellaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Pectinatus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Peptoniphilus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Peptostreptococcus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Phascolarctobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Phenylobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Phocaeicola	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Phyllobacteriaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Phyllobacterium	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Porphyromonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Proteobacteria Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Proteus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Pseudomonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Pyramidobacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Ralstonia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Romboutsia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Roseburia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Rothia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Ruminococcus2	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Senegalimassilia	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Sphingomonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Staphylococcus	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Stenotrophomonas	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Stomatobaculum	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Subdoligranulum	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Succiniclasticum	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Succinivibrio	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Sutterella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Terrisporobacter	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Veillonella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Veillonellaceae Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Verrucomicrobia Unclassified	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
Weissella	NA	NA	3	Kruskal-Wallis rank sum test	0	0	0	0	NA
