otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 34)	13.57389971534923	0.003546444316605914	3	Kruskal-Wallis rank sum test	0	0	0	0	0.022568282014764907
Clostridium (OTU 126)	13.576872536136648	0.003541517149606644	3	Kruskal-Wallis rank sum test	0	0	0	0	0.022568282014764907
Akkermansia (OTU 3)	13.24572481800663	0.004134251371268714	3	Kruskal-Wallis rank sum test	0.0055	0.3905	0.075	0.001	0.025535081999012645
Bacteroides (OTU 256)	12.999999999999893	0.004636605438041952	3	Kruskal-Wallis rank sum test	0	0	0	0	0.02704686505524472
Clostridiales (OTU 5477)	12.999999999999893	0.004636605438041952	3	Kruskal-Wallis rank sum test	0	0	0	0	0.02704686505524472
Lachnospiraceae (OTU 70)	12.869178472663272	0.004928227397015747	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.027971020361440724
Lachnospiraceae (OTU 11)	12.062913686555028	0.007170722871009917	3	Kruskal-Wallis rank sum test	0	0.001	0.007	0	0.037646295072802066
Erysipelotrichaceae (OTU 39)	12.146718998301305	0.006897095492878029	3	Kruskal-Wallis rank sum test	0	0	0.004	0	0.037646295072802066
Lachnospiraceae (OTU 86)	12.090936577244506	0.00707805415324472	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.037646295072802066
Lachnospiraceae (OTU 75)	11.677743003101128	0.008572692971105031	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.042863464855525155
Lachnospiraceae (OTU 88)	11.708023301264875	0.008453305951424852	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.042863464855525155
Ruminococcaceae (OTU 60)	11.463322086870637	0.009467058681227433	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.04623447262925025
Lachnospiraceae (OTU 82)	11.371182998819325	0.009879100479034142	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.047150252286299314
Ruminococcaceae (OTU 52)	11.024132404585218	0.011596095685423207	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.05073291862372653
Clostridiales (OTU 97)	11.035631889259172	0.011534752561442452	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05073291862372653
Ruminococcaceae (OTU 118)	11.038461538461547	0.011519707121486873	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05073291862372653
Ruminococcaceae (OTU 169)	11.08108108108109	0.011295422362500213	3	Kruskal-Wallis rank sum test	0	0	0	0	0.05073291862372653
Lachnospiraceae (OTU 113)	10.81108281942671	0.012792538965877651	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.054825166996618505
Oscillibacter (OTU 45)	10.511039778346294	0.014686194671371895	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.06168201761976196
Porphyromonadaceae (OTU 8)	10.281318617484773	0.016320137645295302	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.0654202427343887
Blautia (OTU 19)	10.326594960384444	0.01598454300258695	3	Kruskal-Wallis rank sum test	0	0	0	0.018	0.0654202427343887
Lachnospiraceae (OTU 62)	10.255998868388254	0.0165108231662981	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0654202427343887
Oscillibacter (OTU 57)	10.206158608394077	0.01689259992982031	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.06569344417152342
Lachnospiraceae (OTU 47)	9.150421811794715	0.027356377370958394	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10445162268911387
Turicibacter (OTU 5)	8.900076094806	0.03064935746235702	3	Kruskal-Wallis rank sum test	0.009	0.008	0.024	0	0.10678532413013894
Lachnospiraceae (OTU 81)	9.015565953001948	0.0290846429938325	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10678532413013894
Lachnospiraceae (OTU 83)	8.888111888111892	0.030816088845613505	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10678532413013894
Lachnospiraceae (OTU 84)	8.873665546156406	0.03101859415208798	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10678532413013894
Clostridiales (OTU 226)	8.888111888111892	0.030816088845613505	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10678532413013894
Lachnospiraceae (OTU 239)	8.888111888111892	0.030816088845613505	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10678532413013894
Lachnospiraceae (OTU 76)	8.836147447786159	0.031550615681195694	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10686498859759833
Lachnospiraceae (OTU 73)	8.61538461538463	0.034866724825520674	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Lachnospiraceae (OTU 85)	8.61538461538463	0.034866724825520674	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Lachnospiraceae (OTU 131)	8.610000000000015	0.03495172345961073	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Dorea (OTU 134)	8.607310215557654	0.03499425876128176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Lachnospiraceae (OTU 144)	8.61538461538463	0.034866724825520674	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Lachnospiraceae (OTU 174)	8.607310215557654	0.03499425876128176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10807050499807602
Lachnospiraceae (OTU 36)	8.250686813186826	0.04110515261331025	3	Kruskal-Wallis rank sum test	0	0	0	0	0.12510263838833555
Lachnospiraceae (OTU 16)	7.7784635806823985	0.05081910054381663	3	Kruskal-Wallis rank sum test	0.004	0.008	0.001	0	0.15245730163144988
Acetatifactor (OTU 78)	7.348519024834808	0.06158109242681115	3	Kruskal-Wallis rank sum test	0	0	0	0	0.1821412592905682
Lactobacillus (OTU 13)	7.153331884810373	0.06716786578066727	3	Kruskal-Wallis rank sum test	0.0025	0.0075	0.01	0.004	0.19590627519361287
Lachnospiraceae (OTU 64)	6.89467203526542	0.07533179203184084	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2167078948861175
Lachnospiraceae (OTU 74)	6.801496019866905	0.07850123655806877	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2227737794215465
Porphyromonadaceae (OTU 67)	6.662499999999948	0.08346955163409853	3	Kruskal-Wallis rank sum test	0	0	0	0	0.23371474457547586
Ruminococcaceae (OTU 61)	6.619439262395057	0.08506927436887789	3	Kruskal-Wallis rank sum test	0	0	0	0	0.23505983707189942
Porphyromonadaceae (OTU 7)	6.338274280392705	0.09626347987951678	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Firmicutes (OTU 129)	6.2999999999999945	0.09789265270998872	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Clostridiales (OTU 137)	6.2999999999999945	0.09789265270998872	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Ruminococcaceae (OTU 147)	6.297440065014215	0.09800255721561035	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Anaerostipes (OTU 159)	6.2999999999999945	0.09789265270998872	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Lachnospiraceae (OTU 225)	6.307692307692301	0.09756311365447476	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2509821587229046
Lachnospiraceae (OTU 77)	6.163631988800413	0.10391496390266909	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2629173785489218
Lachnospiraceae (OTU 103)	6.080584598157223	0.10775475689225932	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2662176346749936
Lachnospiraceae (OTU 151)	6.086288711288702	0.10748673436305854	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2662176346749936
Bacteroides (OTU 237)	5.957264957264888	0.11370799019764936	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2776590458314694
Ruminococcaceae (OTU 106)	5.914563152011917	0.11584171290746303	3	Kruskal-Wallis rank sum test	0	0	0	0	0.2796179277076694
Lachnospiraceae (OTU 41)	5.746121194379342	0.12463690225253903	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Olsenella (OTU 114)	5.762559808612469	0.12375130829340057	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Clostridiales (OTU 141)	5.7772727272728	0.12296376784688086	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Lachnospiraceae (OTU 152)	5.773835920177455	0.12314730179437745	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Coriobacteriaceae (OTU 158)	5.7772727272728	0.12296376784688086	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Lachnospiraceae (OTU 181)	5.773835920177455	0.12314730179437745	3	Kruskal-Wallis rank sum test	0	0	0	0	0.28143816637670105
Lactobacillus (OTU 9)	5.544102568439194	0.13602446265519896	3	Kruskal-Wallis rank sum test	0.009000000000000001	0.013999999999999999	0.004	0.004	0.30388443784672103
Lachnospiraceae (OTU 104)	5.515289549889283	0.13772698761283297	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.30444913051257816
Acetatifactor (OTU 55)	5.318136249715184	0.1499298769792391	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3279716058920855
Lachnospiraceae (OTU 90)	5.241254241254297	0.15496005793929887	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3354805378067295
Ruminococcaceae (OTU 27)	5.066194808038462	0.16701371224956468	3	Kruskal-Wallis rank sum test	0	0	0	0	0.35427151083240993
Lachnospiraceae (OTU 102)	5.066194808038462	0.16701371224956468	3	Kruskal-Wallis rank sum test	0	0	0	0	0.35427151083240993
Clostridiales (OTU 115)	4.933895933238927	0.17670209909358886	3	Kruskal-Wallis rank sum test	0	0	0	0	0.37107440809653663
Bacteria (OTU 43)	4.0975609756096585	0.2511201906104826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Lachnospiraceae (OTU 150)	4.198176823176875	0.2408444831650731	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Clostridiales (OTU 154)	4.099999999999904	0.2508664355703032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Lachnospiraceae (OTU 160)	4.0975609756096585	0.2511201906104826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Clostridium (OTU 172)	4.0975609756096585	0.2511201906104826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Lachnospiraceae (OTU 211)	4.0975609756096585	0.2511201906104826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Alistipes (OTU 277)	4.099999999999904	0.2508664355703032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Clostridiales (OTU 329)	4.099999999999904	0.2508664355703032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Pasteurellaceae (OTU 446)	4.0975609756096585	0.2511201906104826	3	Kruskal-Wallis rank sum test	0	0	0	0	0.48380954154313155
Ruminococcaceae (OTU 59)	4.051916618671786	0.2559123691482945	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4885599774649259
Lactobacillus (OTU 23)	3.976201888170523	0.264045389271406	3	Kruskal-Wallis rank sum test	0.0025	0.001	0.004	0.002	0.4950851048838862
Lachnospiraceae (OTU 121)	3.9970095693779513	0.26178722353978284	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4950851048838862
Lachnospiraceae (OTU 127)	3.8832866697517434	0.27434599072784704	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5098465314411317
Blautia (OTU 132)	3.8280098280098276	0.2806448852205596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5124819643158044
Ruminococcaceae (OTU 143)	3.8424155910705133	0.2789908849042335	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5124819643158044
Lachnospiraceae (OTU 42)	3.757028667308119	0.28892413826426877	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5230523192715211
Porphyromonadaceae (OTU 14)	3.4954045006869667	0.32135863094390704	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5767975427198332
Lachnospiraceae (OTU 58)	3.4040275043932775	0.33342439982371463	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5933824064659328
Porphyromonadaceae (OTU 6)	2.0492321529572832	0.5622515181154514	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 17)	3.00954908611332	0.3901552369355338	3	Kruskal-Wallis rank sum test	0.007	0.003	0.002	0	0.6070980198933679
Porphyromonadaceae (OTU 21)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Porphyromonadaceae (OTU 48)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 68)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 71)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Acetatifactor (OTU 79)	3.0406698564593686	0.3853970907276721	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Anaeroplasma (OTU 89)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 94)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Ruminococcaceae (OTU 101)	2.3190476190475198	0.5088817132649655	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteria (OTU 108)	2.151190476190558	0.541626196449867	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Enterorhabdus (OTU 109)	2.3217150496562233	0.5083736492082455	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 110)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 112)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 116)	2.3892773892772614	0.4956337544435342	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 117)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Oscillibacter (OTU 119)	2.3892773892772614	0.4956337544435342	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 120)	3.057964626176406	0.3827742274748517	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 123)	3.324080086580122	0.34430518263640275	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 125)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Erysipelotrichaceae (OTU 142)	3.1609022556390096	0.3674763171306967	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Clostridium (OTU 145)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 148)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Ruminococcaceae (OTU 153)	3.2494172494173155	0.3547450969826251	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Staphylococcus (OTU 156)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 161)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 163)	3.0963203463203817	0.3770115722587764	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 164)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Acetatifactor (OTU 165)	3.2494172494173155	0.3547450969826251	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Streptococcus (OTU 166)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 184)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Enterococcus (OTU 187)	2.102564102564053	0.5513942021273651	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Prevotella (OTU 191)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Veillonella (OTU 192)	2.9735802107727864	0.3957165506853536	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 193)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Firmicutes (OTU 198)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Clostridiales (OTU 199)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 203)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Coriobacteriaceae (OTU 204)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Ruminococcaceae (OTU 207)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteria (OTU 209)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Streptococcus (OTU 257)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Faecalibacterium (OTU 262)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Clostridium (OTU 268)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Olsenella (OTU 274)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Parabacteroides (OTU 275)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 276)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lactobacillus (OTU 294)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 309)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Roseburia (OTU 319)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bilophila (OTU 339)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Escherichia/Shigella (OTU 342)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Akkermansia (OTU 352)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 361)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 365)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Escherichia/Shigella (OTU 386)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 400)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 417)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 490)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Clostridium (OTU 612)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Sutterella (OTU 628)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Sutterella (OTU 629)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lactobacillus (OTU 635)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Peptostreptococcaceae (OTU 659)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 676)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 715)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 739)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Prevotella (OTU 751)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 848)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Ruminococcaceae (OTU 857)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 897)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Prevotella (OTU 1110)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 1408)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Dorea (OTU 1531)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Eubacterium (OTU 1553)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Brucellaceae (OTU 1747)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 2020)	2.818181818181547	0.42051560540626176	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Bacteroides (OTU 2991)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 3450)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 4074)	1.9999999999999523	0.5724067044708897	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6070980198933679
Lachnospiraceae (OTU 72)	1.7932777449822581	0.6163988653591008	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6504711644493023
