otu	statistic	p.value	parameter	method	WM	C	WMC	p.value.adj
Ruminococcaceae (OTU 65)	41.71917460461801	8.725620889103158e-10	2	Kruskal-Wallis rank sum test	0	0.002	0	1.0501907998670588e-8
Lachnospiraceae (OTU 24)	41.6284920376608	9.130358053694799e-10	2	Kruskal-Wallis rank sum test	0	0.015	0	1.061010573825913e-8
Lachnospiraceae (OTU 16)	41.48543871955577	9.807344758909407e-10	2	Kruskal-Wallis rank sum test	0	0.018	0	1.10169172791749e-8
Lachnospiraceae (OTU 95)	40.66465618918696	1.4783664709300196e-9	2	Kruskal-Wallis rank sum test	0	0.001	0	1.556904689698177e-8
Oscillibacter (OTU 119)	40.66761652757988	1.4761798570971078e-9	2	Kruskal-Wallis rank sum test	0	0.001	0	1.556904689698177e-8
Bacteroides (OTU 1)	40.58561666124305	1.5379609894960725e-9	2	Kruskal-Wallis rank sum test	0.311	0.009	0.391	1.5705844044247772e-8
Lachnospiraceae (OTU 71)	40.50629655238318	1.6001823007992395e-9	2	Kruskal-Wallis rank sum test	0	0.001	0	1.586063045203952e-8
Ruminococcaceae (OTU 37)	39.76541941668897	2.3176555329777036e-9	2	Kruskal-Wallis rank sum test	0	0.002	0	2.2315711846099603e-8
Lachnospiraceae (OTU 36)	39.37669423474059	2.8148774318947122e-9	2	Kruskal-Wallis rank sum test	0	0.01	0	2.63503804041255e-8
Lachnospiraceae (OTU 81)	38.836777462101686	3.6872359263027935e-9	2	Kruskal-Wallis rank sum test	0	0.002	0	3.358374343686598e-8
Lachnospiraceae (OTU 82)	38.3661537229801	4.665471847358846e-9	2	Kruskal-Wallis rank sum test	0	0.002	0	4.1375368751577135e-8
Lachnospiraceae (OTU 88)	37.72023158891153	6.444003719322687e-9	2	Kruskal-Wallis rank sum test	0	0.002	0	5.568280136953193e-8
Lachnospiraceae (OTU 131)	37.60789606853205	6.8163068165587205e-9	2	Kruskal-Wallis rank sum test	0	0.001	0	5.742738492950723e-8
Clostridiales (OTU 35)	37.38281907690053	7.62823350243564e-9	2	Kruskal-Wallis rank sum test	0	0.004	0	6.270035830050757e-8
Lachnospiraceae (OTU 68)	36.86321045504914	9.891349718947386e-9	2	Kruskal-Wallis rank sum test	0	0.001	0	7.936630607822068e-8
Ruminococcaceae (OTU 61)	36.79821376199318	1.0218082613285089e-8	2	Kruskal-Wallis rank sum test	0	0.001	0	8.008125210876918e-8
Lachnospiraceae (OTU 29)	35.431076083872526	2.0241355125322194e-8	2	Kruskal-Wallis rank sum test	0	0.01	0	1.550303790280359e-7
Lachnospiraceae (OTU 83)	35.19073340796261	2.282597479631389e-8	2	Kruskal-Wallis rank sum test	0	0.002	0	1.709411890301729e-7
Lactobacillus (OTU 13)	35.11979180036037	2.3650161336789255e-8	2	Kruskal-Wallis rank sum test	0	0.006	0	1.732631384890865e-7
Lachnospiraceae (OTU 90)	35.028938074369925	2.4749289951167474e-8	2	Kruskal-Wallis rank sum test	0	0.001	0	1.7745767475624339e-7
Clostridium (OTU 22)	34.69131682850628	2.930058327124377e-8	2	Kruskal-Wallis rank sum test	0	0.022	0	2.057145117168573e-7
Lachnospiraceae (OTU 74)	33.57271949159602	5.1259762677640943e-008	2	Kruskal-Wallis rank sum test	0	0.003	0	3.5254163310948976e-7
Lachnospiraceae (OTU 63)	32.40068330482256	9.210453523298296e-8	2	Kruskal-Wallis rank sum test	0	0.003	0	6.207845674703052e-7
Acetatifactor (OTU 138)	32.1627556366661	1.0374002590285502e-7	2	Kruskal-Wallis rank sum test	0	0.001	0	6.854978182208263e-7
Lachnospiraceae (OTU 94)	32.02749407689486	1.1099873429493407e-7	2	Kruskal-Wallis rank sum test	0	0.001	0	7.193571818729381e-7
Lachnospiraceae (OTU 72)	31.748455369160073	1.27617582124963e-7	2	Kruskal-Wallis rank sum test	0	0.002	0	8.114551920021232e-7
Lachnospiraceae (OTU 20)	31.136632208741695	1.7328709584395322e-7	2	Kruskal-Wallis rank sum test	0	0.005	0	1.0617772963529497e-6
Lachnospiraceae (OTU 110)	31.136873886787352	1.7326615726574674e-7	2	Kruskal-Wallis rank sum test	0	0.001	0	1.0617772963529497e-6
Lachnospiraceae (OTU 47)	30.057807304640555	2.971871825701662e-7	2	Kruskal-Wallis rank sum test	0	0.002	0	1.7884300093954647e-6
Firmicutes (OTU 155)	29.806822852445528	3.369229976837287e-7	2	Kruskal-Wallis rank sum test	0	0.001	0	1.991983337182747e-6
Butyricicoccus (OTU 56)	28.97009832892104	5.11944731275802e-7	2	Kruskal-Wallis rank sum test	0	0.003	0	2.9745754213783666e-6
Lachnospiraceae (OTU 77)	27.747213896357668	9.435589931995155e-7	2	Kruskal-Wallis rank sum test	0	0.005	0	5.3894810289531645e-6
Lachnospiraceae (OTU 46)	27.50306660375642	1.0660681519234754e-6	2	Kruskal-Wallis rank sum test	0	0.001	0	5.98774945330352e-6
Clostridium (OTU 145)	27.291673486311602	1.1849182854798736e-6	2	Kruskal-Wallis rank sum test	0	0	0	6.546187905028154e-6
Clostridium (OTU 51)	27.189432724069764	1.2470667527382667e-6	2	Kruskal-Wallis rank sum test	0	0.005	0	6.778411220528966e-6
Lachnospiraceae (OTU 49)	26.442004236633913	1.8121399498363073e-6	2	Kruskal-Wallis rank sum test	0	0.002	0	9.69351052531485e-6
Ruminococcaceae (OTU 106)	24.81053330073692	4.096954560552317e-6	2	Kruskal-Wallis rank sum test	0	0	0	2.1241133644709708e-5
Lachnospiraceae (OTU 144)	24.840029371656364	4.036975900252904e-6	2	Kruskal-Wallis rank sum test	0	0	0	2.1241133644709708e-5
Lachnospiraceae (OTU 86)	24.33927546694803	5.185533993359058e-6	2	Kruskal-Wallis rank sum test	0	0.001	0	2.6477650844878826e-5
Bacteria (OTU 108)	23.89735602904275	6.46777751580351e-6	2	Kruskal-Wallis rank sum test	0	0	0	3.253195556456392e-5
Clostridiales (OTU 97)	23.25313331175421	8.925781635936753e-6	2	Kruskal-Wallis rank sum test	0	0.001	0	4.423512369574538e-5
Anaerostipes (OTU 159)	22.631731715432583	1.2178166292475533e-5	2	Kruskal-Wallis rank sum test	0	0	0	5.9478870153105144e-5
Ruminococcaceae (OTU 143)	22.474899598393613	1.3171570524106855e-5	2	Kruskal-Wallis rank sum test	0	0	0	6.341170380891442e-5
Lachnospiraceae (OTU 125)	22.43604199553989	1.3429980521936939e-5	2	Kruskal-Wallis rank sum test	0	0	0	6.374511881539083e-5
Lachnospiraceae (OTU 112)	22.08732744982539	1.5988134175096604e-5	2	Kruskal-Wallis rank sum test	0	0	0	7.483335023621605e-5
Clostridiales (OTU 115)	21.829410231701246	1.8188789488206532e-5	2	Kruskal-Wallis rank sum test	0	0	0	8.396742544555619e-5
Lachnospiraceae (OTU 111)	21.759131351702166	1.883929564142713e-5	2	Kruskal-Wallis rank sum test	0	0	0	8.57951706913641e-5
Lachnospiraceae (OTU 128)	21.697358795462232	1.94302505872911e-5	2	Kruskal-Wallis rank sum test	0	0	0	8.730659263889467e-5
Lactobacillus (OTU 23)	19.595011971441764	5.559006911386777e-5	2	Kruskal-Wallis rank sum test	0	0.002	0	2.464980696233347e-4
Ruminococcaceae (OTU 147)	19.444672683888317	5.99298203031622e-5	2	Kruskal-Wallis rank sum test	0	0	0	2.6229025249565794e-4
Turicibacter (OTU 5)	19.3984992960408	6.132949650153265e-5	2	Kruskal-Wallis rank sum test	0	0.004	0	2.6463678621627454e-4
Acetatifactor (OTU 55)	19.37557473614254	6.20365166501059e-5	2	Kruskal-Wallis rank sum test	0	0.002	0	2.6463678621627454e-4
Clostridium (OTU 126)	19.231646553211416	6.666548024246643e-5	2	Kruskal-Wallis rank sum test	0	0	0	2.8082833552138986e-4
Lachnospiraceae (OTU 42)	18.455536593793838	9.827230629552582e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	4.088613237233605e-4
Ruminococcaceae (OTU 118)	17.855227882037504	1.3267421565844113e-4	2	Kruskal-Wallis rank sum test	0	0	0	5.386892852637911e-4
Lachnospiraceae (OTU 167)	17.86001609010456	1.3235695970700024e-4	2	Kruskal-Wallis rank sum test	0	0	0	5.386892852637911e-4
Lachnospiraceae (OTU 32)	16.765250042669457	2.288085291649193e-4	2	Kruskal-Wallis rank sum test	0	0.002	0	9.179580277211643e-4
Lachnospiraceae (OTU 62)	16.64334320670323	2.431890087078018e-4	2	Kruskal-Wallis rank sum test	0	0	0	9.641728933474025e-4
Lachnospiraceae (OTU 121)	16.09698736283427	3.1958295383914683e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.0012523192493464242
Lachnospiraceae (OTU 76)	15.87455946277994	3.571767747437936e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0013835468171110165
Lachnospiraceae (OTU 103)	15.65904544627954	3.978153030257023e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.00150633434965912
Ruminococcaceae (OTU 153)	15.661375661375708	3.9735207532085325e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.00150633434965912
Firmicutes (OTU 96)	15.591370112646043	4.1150678220306904e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.0015408642844714918
Lachnospiraceae (OTU 84)	15.062569619909286	5.360490928473097e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.0019851488383466308
Lachnospiraceae (OTU 174)	14.299998920643485	7.848645048851258e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.0028749928059379065
Ruminococcaceae (OTU 207)	13.52657004830923	0.0011554273260675012	2	Kruskal-Wallis rank sum test	0	0	0	0.0041868710632768594
Lachnospiraceae (OTU 196)	13.503901085600482	0.001168597995903782	2	Kruskal-Wallis rank sum test	0	0	0	0.004189548134250793
Lachnospiraceae (OTU 124)	12.857922982147103	0.001614126248887584	2	Kruskal-Wallis rank sum test	0	0	0	0.005725900482895956
Lachnospiraceae (OTU 117)	12.754039057600119	0.0017001827583268457	2	Kruskal-Wallis rank sum test	0	0	0	0.005968349891209864
Lachnospiraceae (OTU 104)	12.429328078903794	0.00199988812106993	2	Kruskal-Wallis rank sum test	0	0	0	0.006948064915469758
Akkermansia (OTU 3)	11.697546826360579	0.0028834337717497565	2	Kruskal-Wallis rank sum test	0.007	0.185	0.187	0.00991548143958845
Lachnospiraceae (OTU 157)	11.416082792312084	0.003319167116150048	2	Kruskal-Wallis rank sum test	0	0	0	0.01107890870568453
Clostridium (OTU 172)	11.428571428571367	0.003298505755939194	2	Kruskal-Wallis rank sum test	0	0	0	0.01107890870568453
Lachnospiraceae (OTU 177)	11.415349016583045	0.0033203851017036723	2	Kruskal-Wallis rank sum test	0	0	0	0.01107890870568453
Lachnospiraceae (OTU 127)	10.93696193734632	0.004217634012647509	2	Kruskal-Wallis rank sum test	0	0	0	0.013934731982962849
Lachnospiraceae (OTU 11)	10.76964452865235	0.004585655284346326	2	Kruskal-Wallis rank sum test	0	0	0	0.014883556788062071
Clostridiales (OTU 179)	10.766380555791725	0.004593145121538443	2	Kruskal-Wallis rank sum test	0	0	0	0.014883556788062071
Clostridiales (OTU 154)	10.703259508889312	0.004740418981572923	2	Kruskal-Wallis rank sum test	0	0	0	0.015214487588476907
Lachnospiraceae (OTU 26)	10.034347807496715	0.0066232181369382265	2	Kruskal-Wallis rank sum test	0	0.003	0	0.021056835020265872
Lachnospiraceae (OTU 133)	9.389671361502309	0.009142369511761986	2	Kruskal-Wallis rank sum test	0	0	0	0.027855875191647148
Alistipes (OTU 139)	9.382528210980059	0.009175080552738378	2	Kruskal-Wallis rank sum test	0	0	0	0.027855875191647148
Lachnospiraceae (OTU 160)	9.389671361502309	0.009142369511761986	2	Kruskal-Wallis rank sum test	0	0	0	0.027855875191647148
Lachnospiraceae (OTU 180)	9.383242036924289	0.009171806431791784	2	Kruskal-Wallis rank sum test	0	0	0	0.027855875191647148
Lachnospiraceae (OTU 241)	9.38609842719428	0.009158716652071611	2	Kruskal-Wallis rank sum test	0	0	0	0.027855875191647148
Enterorhabdus (OTU 109)	9.058550644132445	0.010788491422267852	2	Kruskal-Wallis rank sum test	0	0	0	0.032461800083073804
Lachnospiraceae (OTU 64)	8.751603156601877	0.012578055903798489	2	Kruskal-Wallis rank sum test	0	0	0	0.037511547252921155
Bacteria (OTU 209)	8.575776508125841	0.013733897197559283	2	Kruskal-Wallis rank sum test	0	0	0	0.0405993276805042
Lachnospiraceae (OTU 183)	8.36041083099908	0.015295365338893684	2	Kruskal-Wallis rank sum test	0	0	0	0.04482207060180149
Lachnospiraceae (OTU 181)	8.298796821672667	0.015773903040201646	2	Kruskal-Wallis rank sum test	0	0	0	0.04582590797024099
Coriobacteriaceae (OTU 158)	7.411580594679207	0.024580783561553094	2	Kruskal-Wallis rank sum test	0	0	0	0.07034768535457096
Firmicutes (OTU 235)	7.407407407407431	0.024632127216140574	2	Kruskal-Wallis rank sum test	0	0	0	0.07034768535457096
Lachnospiraceae (OTU 163)	6.753968253968152	0.034150292529513	2	Kruskal-Wallis rank sum test	0	0	0	0.09671133262559564
Lachnospiraceae (OTU 161)	6.474503488996233	0.03927167552540503	2	Kruskal-Wallis rank sum test	0	0	0	0.11028795543384579
Bacteria (OTU 43)	6.101171610544109	0.04733118940799657	2	Kruskal-Wallis rank sum test	0	0	0	0.1318232300040896
Staphylococcus (OTU 156)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Lachnospiraceae (OTU 162)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Enterobacteriaceae (OTU 176)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Lachnospiraceae (OTU 184)	5.481481481481391	0.06452253471698347	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Lachnospiraceae (OTU 189)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Ruminococcaceae (OTU 216)	5.481481481481391	0.06452253471698347	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Ruminococcaceae (OTU 219)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Acetatifactor (OTU 263)	5.478775913129229	0.06460987884650723	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Firmicutes (OTU 279)	5.47945205479443	0.06458803982274787	2	Kruskal-Wallis rank sum test	0	0	0	0.16748868593286875
Lachnospiraceae (OTU 482)	5.2123552123552574	0.07381615962935817	2	Kruskal-Wallis rank sum test	0	0	0	0.18989347935186035
Pseudoflavonifractor (OTU 240)	5.093804028788505	0.07832393696070362	2	Kruskal-Wallis rank sum test	0	0	0	0.19996338451331153
Blautia (OTU 132)	4.69841269841268	0.0954448820704196	2	Kruskal-Wallis rank sum test	0	0	0	0.24184154329121357
Lactobacillus (OTU 9)	4.148953965291843	0.12562211285948818	2	Kruskal-Wallis rank sum test	0.003	0.002	0.002	0.315930239057071
Ruminococcaceae (OTU 169)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Clostridium (OTU 201)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 203)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Firmicutes (OTU 210)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 211)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lactobacillus (OTU 221)	3.603603603603707	0.16500132054643532	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 238)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 243)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 259)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Clostridiales (OTU 421)	3.6042617960427203	0.16494702816982784	2	Kruskal-Wallis rank sum test	0	0	0	0.38614892377881044
Lachnospiraceae (OTU 58)	3.340182502205187	0.1882298886701678	2	Kruskal-Wallis rank sum test	0	0	0	0.4374722240127348
Enterococcus (OTU 187)	3.305931286419117	0.19148120082238412	2	Kruskal-Wallis rank sum test	0	0	0	0.4419805799804346
Ruminococcus (OTU 93)	3.2398185373795636	0.1979166555064656	2	Kruskal-Wallis rank sum test	0	0	0	0.4537272986780878
Porphyromonadaceae (OTU 8)	2.956341905573811	0.2280544294667236	2	Kruskal-Wallis rank sum test	0.001	0	0	0.4793939166121755
Porphyromonadaceae (OTU 21)	2.4642584876220566	0.29167087762919897	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Anaeroplasma (OTU 89)	3.062372146284115	0.21627899242439386	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 91)	2.3310896893849886	0.31175275891537846	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 100)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteria (OTU 105)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 113)	2.3795513823684606	0.30428951123211306	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Olsenella (OTU 114)	1.9113817013358914	0.38454638863527685	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Firmicutes (OTU 129)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 130)	1.911145844758728	0.3845917402068332	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 141)	3.0001341381623368	0.22311519551544542	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Erysipelotrichaceae (OTU 142)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 146)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 148)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 150)	1.9467960023513493	0.3777970995419482	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 151)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 152)	1.9467960023513493	0.3777970995419482	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 164)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 170)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Coriobacteriaceae (OTU 182)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 185)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Firmicutes (OTU 188)	1.9645816723441951	0.3744523066620404	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 193)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 195)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Clostridiales (OTU 199)	1.9467960023513493	0.3777970995419482	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Acetatifactor (OTU 206)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Ruminococcaceae (OTU 217)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacillus (OTU 218)	1.9458350961310378	0.3779786569448478	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Listeria (OTU 228)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 239)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Parabacteroides (OTU 245)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Coriobacteriaceae (OTU 252)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 256)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Streptococcus (OTU 257)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Coriobacteriaceae (OTU 260)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 261)	2.863287042573241	0.23891593596508584	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 264)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 271)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Lachnospiraceae (OTU 272)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Blautia (OTU 273)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Parabacteroides (OTU 275)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Aerococcus (OTU 281)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 285)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 288)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroides (OTU 296)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Pseudomonas (OTU 298)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroidetes (OTU 304)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bradyrhizobium (OTU 315)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Dialister (OTU 320)	2.4703115814227834	0.29078945654252986	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Bacteroidales (OTU 334)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Porphyromonadaceae (OTU 338)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Akkermansia (OTU 360)	1.7777777777778279	0.4111122905071772	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
Terrisporobacter (OTU 363)	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	0	0.4793939166121755
