otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Porphyromonadaceae (OTU 15)	43.74520375971832	6.356245256190596e-7	8	Kruskal-Wallis rank sum test	0	0	0.0635	7.750518409161436e-6
Lachnospiraceae (OTU 70)	43.81002295289795	6.179635491866488e-7	8	Kruskal-Wallis rank sum test	0	0.001	0.0015	7.750518409161436e-6
Ruminococcaceae (OTU 98)	43.663133238286726	6.587062061041771e-7	8	Kruskal-Wallis rank sum test	0.002	0	0.001	7.780967059605592e-6
Porphyromonadaceae (OTU 212)	43.46590909090922	7.176315096632533e-7	8	Kruskal-Wallis rank sum test	0	5e-4	0	8.220142747051812e-6
Lachnospiraceae (OTU 32)	43.19571585386896	8.069353953902094e-7	8	Kruskal-Wallis rank sum test	0	0.0015	0.003	8.971222925220563e-6
Ruminococcaceae (OTU 92)	43.09173680935377	8.441679080775573e-7	8	Kruskal-Wallis rank sum test	0.001	0	0	9.117013407237618e-6
Lachnospiraceae (OTU 20)	42.274351410967284	1.2027814751839643e-6	8	Kruskal-Wallis rank sum test	0.003	0.0035	0.002	1.2629205489431625e-5
Lachnospiraceae (OTU 31)	41.78702319786262	1.4847391666035626e-6	8	Kruskal-Wallis rank sum test	0.001	0	0	1.516791397855824e-5
Ruminococcaceae (OTU 59)	41.72533009459241	1.5248167491672304e-6	8	Kruskal-Wallis rank sum test	0.002	0	0	1.516791397855824e-5
Lachnospiraceae (OTU 29)	41.58588946084344	1.6193972712028977e-6	8	Kruskal-Wallis rank sum test	0.003	0.0035	0.003	1.569569662858193e-5
Lactobacillus (OTU 23)	40.85725753967957	2.216700321643111e-6	8	Kruskal-Wallis rank sum test	0.004	0.009	0.0025	2.0947818039527398e-5
Akkermansia (OTU 3)	40.62609838954342	2.44843319279868e-6	8	Kruskal-Wallis rank sum test	0.144	0.0245	0.0155	2.2302144720668586e-5
Lachnospiraceae (OTU 49)	40.598163043127656	2.4780160800742875e-6	8	Kruskal-Wallis rank sum test	0	0	0	2.2302144720668586e-5
Bacteria (OTU 108)	38.86981293749526	5.196417223076642e-6	8	Kruskal-Wallis rank sum test	0.001	0	0	4.5680132798208624e-5
Porphyromonadaceae (OTU 40)	38.44994614458107	6.2157082925496054e-6	8	Kruskal-Wallis rank sum test	0	0	0.006500000000000001	5.339858487690343e-5
Clostridium (OTU 22)	37.939857388893046	7.723354577160468e-6	8	Kruskal-Wallis rank sum test	0.003	0.0035	0.0045000000000000005	6.487617844814793e-5
Lachnospiraceae (OTU 47)	37.77342709010707	8.289606513319485e-6	8	Kruskal-Wallis rank sum test	0.001	0.002	0.0035	6.811894047901665e-5
Bacteroides (OTU 1)	36.96212450142448	1.1694977660436476e-5	8	Kruskal-Wallis rank sum test	0.031	0.11	0.20900000000000002	9.405747990734016e-5
Ruminococcaceae (OTU 27)	36.15786638020591	1.642928800329202e-5	8	Kruskal-Wallis rank sum test	0.002	0	0	1.2938064302592465e-4
Porphyromonadaceae (OTU 7)	35.798239151814	1.911809795875112e-5	8	Kruskal-Wallis rank sum test	0	0.0735	0.029500000000000002	1.3897386593092158e-4
Ruminococcaceae (OTU 60)	35.80796910636805	1.9039924984263892e-5	8	Kruskal-Wallis rank sum test	0.001	0	0	1.3897386593092158e-4
Porphyromonadaceae (OTU 190)	35.86541898585491	1.8584755980998227e-5	8	Kruskal-Wallis rank sum test	0	0	5e-4	1.3897386593092158e-4
Porphyromonadaceae (OTU 254)	35.81417624521076	1.899022036988224e-5	8	Kruskal-Wallis rank sum test	0	5e-4	0	1.3897386593092158e-4
Porphyromonadaceae (OTU 175)	35.7092317624273	1.9848090752326068e-5	8	Kruskal-Wallis rank sum test	0	0	0	1.415580812147029e-4
Lachnospiraceae (OTU 46)	35.057622833105135	2.6099921658658944e-5	8	Kruskal-Wallis rank sum test	0	0.001	0	1.7937764339951058e-4
Lachnospiraceae (OTU 62)	35.086672345881205	2.578373961484529e-5	8	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0.005	1.7937764339951058e-4
Ruminococcaceae (OTU 54)	34.880475557315016	2.81126177151935e-5	8	Kruskal-Wallis rank sum test	0.001	0	0	1.8976016957755613e-4
Lachnospiraceae (OTU 128)	34.32701435928095	3.544103250085301e-5	8	Kruskal-Wallis rank sum test	0	0.001	0	2.350300050056568e-4
Lachnospiraceae (OTU 125)	33.24657276781407	5.5595534525097015e-5	8	Kruskal-Wallis rank sum test	0	0	0	3.623295181118392e-4
Erysipelotrichaceae (OTU 39)	30.472629052577116	1.743326788491996e-4	8	Kruskal-Wallis rank sum test	0	0.001	0	0.0011169110611016515
Lachnospiraceae (OTU 150)	30.043037065013213	2.077075006749588e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.0013085572542522405
Lachnospiraceae (OTU 86)	29.65044101056923	2.4365460793799467e-4	8	Kruskal-Wallis rank sum test	0.001	0	5e-4	0.0015098597016485573
Bacteria (OTU 43)	29.60313837099821	2.483784849948562e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.0015143075375492845
Firmicutes (OTU 129)	29.4669926956173	2.6248242759689303e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.001574894565581358
Ruminococcaceae (OTU 106)	29.087865547333447	3.06033751651017e-4	8	Kruskal-Wallis rank sum test	0.001	0	0	0.0018075118456888192
Porphyromonadaceae (OTU 67)	28.648148148147826	3.6547404104449085e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.002001927033439798
Lachnospiraceae (OTU 121)	28.612729867281423	3.707272284147774e-4	8	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.002001927033439798
Porphyromonadaceae (OTU 278)	28.65168539325812	3.649534296488247e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.002001927033439798
Porphyromonadaceae (OTU 280)	28.65168539325812	3.649534296488247e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.002001927033439798
Porphyromonadaceae (OTU 508)	28.65168539325812	3.649534296488247e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.002001927033439798
Porphyromonadaceae (OTU 517)	28.65168539325812	3.649534296488247e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.002001927033439798
Lachnospiraceae (OTU 127)	28.48090277777786	3.9093842166087854e-4	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.0020813341322227057
Anaeroplasma (OTU 89)	28.365919648782324	4.0944654976023646e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.0021210501782608377
Firmicutes (OTU 155)	28.364861495328043	4.09620801621802e-4	8	Kruskal-Wallis rank sum test	0	0	0	0.0021210501782608377
Acetatifactor (OTU 79)	28.165978672170585	4.436963404017419e-4	8	Kruskal-Wallis rank sum test	0	5e-4	0	0.002266448873944033
Lachnospiraceae (OTU 75)	27.414685902165278	5.993481439056538e-4	8	Kruskal-Wallis rank sum test	0	0.002	0.001	0.003020714645284495
Ruminococcaceae (OTU 37)	27.027052326985874	6.994222029109059e-4	8	Kruskal-Wallis rank sum test	0.001	0	0	0.0034787051671095054
Lachnospiraceae (OTU 63)	26.619749613373063	8.221660564761796e-4	8	Kruskal-Wallis rank sum test	0.001	5e-4	0.001	0.0040360879136103365
Turicibacter (OTU 5)	26.365371549282788	9.092551817936048e-4	8	Kruskal-Wallis rank sum test	0.012	0.016	0.026000000000000002	0.004406390496384392
Clostridiales (OTU 97)	26.3053853763862	9.310700837466387e-4	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.004454993565268727
Lachnospiraceae (OTU 17)	26.068882010047755	0.0010221687650073929	8	Kruskal-Wallis rank sum test	0.004	0.0035	0.001	0.004829747414659931
Porphyromonadaceae (OTU 194)	26.026608784473765	0.001039344414493023	8	Kruskal-Wallis rank sum test	0	0	0	0.004850273934300774
Lachnospiraceae (OTU 88)	25.910673658880594	0.0010879076440964304	8	Kruskal-Wallis rank sum test	0	0	0	0.005014988895956716
Lachnospiraceae (OTU 74)	25.68197048013721	0.0011902862588962575	8	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0.005420821757382956
Porphyromonadaceae (OTU 21)	25.453157999554726	0.0013020973491065409	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.005859438070979434
Ruminococcaceae (OTU 101)	25.256137077768948	0.0014065263522710489	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.006254905425393606
Lachnospiraceae (OTU 26)	25.142328068051363	0.0014705228834928571	8	Kruskal-Wallis rank sum test	0.002	0.004	0.003	0.00646346104605
Ruminococcaceae (OTU 61)	25.007187802316473	0.0015502040186780213	8	Kruskal-Wallis rank sum test	0.001	0	0.001	0.006735369184601058
Lachnospiraceae (OTU 90)	24.627473907006628	0.0017972613588727888	8	Kruskal-Wallis rank sum test	0	0	0.001	0.007720054473339935
Lachnospiraceae (OTU 16)	24.418126594376243	0.001949441182416064	8	Kruskal-Wallis rank sum test	0.006	0.0015	0.002	0.008279649066890698
Lachnospiraceae (OTU 34)	24.129851193448488	0.0021796571630141653	8	Kruskal-Wallis rank sum test	0	0	0	0.009154560084659496
Ruminococcaceae (OTU 65)	23.777802152768572	0.0024967982188509124	8	Kruskal-Wallis rank sum test	0	0	0	0.01037131567830379
Ruminococcaceae (OTU 118)	23.514890180897982	0.0027624176539792983	8	Kruskal-Wallis rank sum test	0	0	0	0.011349933404393204
Lachnospiraceae (OTU 151)	23.43875313283213	0.002844326275445562	8	Kruskal-Wallis rank sum test	0	0	0	0.011560810022778737
Lachnospiraceae (OTU 41)	23.27749525259168	0.0030256579854141172	8	Kruskal-Wallis rank sum test	0	0	0	0.01216700764347379
Lachnospiraceae (OTU 110)	23.129048151392222	0.0032024547487119566	8	Kruskal-Wallis rank sum test	0	0	0	0.012742398894874944
Lachnospiraceae (OTU 81)	22.892000515940314	0.0035057078255218916	8	Kruskal-Wallis rank sum test	0	5e-4	0	0.013692367734931186
Lachnospiraceae (OTU 84)	22.886062872774307	0.0035136499213976853	8	Kruskal-Wallis rank sum test	0	5e-4	0	0.013692367734931186
Porphyromonadaceae (OTU 246)	22.78409090909073	0.0036527948960489226	8	Kruskal-Wallis rank sum test	0	0	0	0.014089351741902987
Blautia (OTU 132)	22.75608195583828	0.003691938434417398	8	Kruskal-Wallis rank sum test	0	0	0	0.014096492204139156
Lachnospiraceae (OTU 66)	22.685007390574334	0.0037930981153203058	8	Kruskal-Wallis rank sum test	0.001	5e-4	0	0.014337910875910754
Oscillibacter (OTU 119)	22.618533705288492	0.003890132541684887	8	Kruskal-Wallis rank sum test	0	5e-4	0	0.014559109908484033
Pseudoflavonifractor (OTU 69)	22.134880140438696	0.004672035367537425	8	Kruskal-Wallis rank sum test	0.001	0	0	0.017314013420873988
Lachnospiraceae (OTU 103)	22.09223116331748	0.004747844179800817	8	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.017424127184123388
Lachnospiraceae (OTU 77)	21.74197136821482	0.0054169720773189975	8	Kruskal-Wallis rank sum test	0.001	0	0	0.019688610050255587
Akkermansia (OTU 200)	21.49147727272722	0.005950337327832371	8	Kruskal-Wallis rank sum test	0	0	0	0.021421214380196535
Lachnospiraceae (OTU 111)	21.427378126539963	0.006094744599610437	8	Kruskal-Wallis rank sum test	0	0	0	0.021734089232573067
Clostridium (OTU 51)	21.006574783300152	0.007129984825230552	8	Kruskal-Wallis rank sum test	0	5e-4	0	0.024739281223806104
Lachnospiraceae (OTU 152)	20.98314606741531	0.00719233553643756	8	Kruskal-Wallis rank sum test	0	0	0	0.024739281223806104
Coriobacteriaceae (OTU 204)	20.98314606741531	0.00719233553643756	8	Kruskal-Wallis rank sum test	0	0	0	0.024739281223806104
Bacteroides (OTU 296)	20.98055555555512	0.0071992617317954265	8	Kruskal-Wallis rank sum test	0	0	0	0.024739281223806104
Lachnospiraceae (OTU 102)	20.769455541922664	0.007785728994429708	8	Kruskal-Wallis rank sum test	0.001	0	0	0.02651356360265252
Lachnospiraceae (OTU 83)	20.289539515817392	0.009294409578607991	8	Kruskal-Wallis rank sum test	0	0	0	0.031368632327801974
Lachnospiraceae (OTU 64)	20.187005733351562	0.00965123283804864	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.032284654980375097
Lachnospiraceae (OTU 76)	20.14864609434442	0.009788067418739653	8	Kruskal-Wallis rank sum test	0	0	0.0015	0.03245517091476832
Lachnospiraceae (OTU 85)	19.808392566814312	0.011085789091078244	8	Kruskal-Wallis rank sum test	0	0	0	0.03643850675154414
Lachnospiraceae (OTU 113)	19.651806697559454	0.011736791755364035	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.038245752444203494
Prevotella (OTU 191)	19.625937346695444	0.011847795699250804	8	Kruskal-Wallis rank sum test	0	0	0	0.038277493797579526
Lachnospiraceae (OTU 112)	19.515797373583702	0.012331710350426609	8	Kruskal-Wallis rank sum test	0	0	0	0.03950327552933269
Clostridium (OTU 126)	18.930053892902144	0.015238228840255797	8	Kruskal-Wallis rank sum test	0	0	0	0.04840378572787135
Clostridiales (OTU 35)	18.223426590056278	0.01961240138815946	8	Kruskal-Wallis rank sum test	0	0	0	0.0617790643727023
Lachnospiraceae (OTU 131)	17.984781230183906	0.021340873488596174	8	Kruskal-Wallis rank sum test	0	0	0	0.06666818329495333
Lachnospiraceae (OTU 140)	17.667134831460942	0.02386526881089459	8	Kruskal-Wallis rank sum test	0	0	0	0.07394320992227996
Lachnospiraceae (OTU 68)	17.37076093031184	0.026471769372394267	8	Kruskal-Wallis rank sum test	0	0.001	0	0.08135226685174823
Lachnospiraceae (OTU 205)	17.199999999998134	0.028092580318558318	8	Kruskal-Wallis rank sum test	0	0	0	0.08296090125324253
Porphyromonadaceae (OTU 288)	17.199999999998134	0.028092580318558318	8	Kruskal-Wallis rank sum test	0	0	0	0.08296090125324253
Porphyromonadaceae (OTU 615)	17.199999999998134	0.028092580318558318	8	Kruskal-Wallis rank sum test	0	0	0	0.08296090125324253
Comamonadaceae (OTU 684)	17.199999999998134	0.028092580318558318	8	Kruskal-Wallis rank sum test	0	0	0	0.08296090125324253
Porphyromonadaceae (OTU 982)	17.199999999998134	0.028092580318558318	8	Kruskal-Wallis rank sum test	0	0	0	0.08296090125324253
Lachnospiraceae (OTU 167)	17.089249492900464	0.02919303373270523	8	Kruskal-Wallis rank sum test	0	0	0	0.08554237791443858
Lactobacillus (OTU 9)	16.881997481257276	0.03136155616964131	8	Kruskal-Wallis rank sum test	0.006	0.009	0.001	0.09118975563172625
Lachnospiraceae (OTU 180)	16.333938294010633	0.03784232198749407	8	Kruskal-Wallis rank sum test	0	0	0	0.10919387565857068
Lachnospiraceae (OTU 117)	15.944648606535116	0.04317924722933777	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.12271996580969681
Clostridiales (OTU 141)	15.950200203972678	0.04309847180877648	8	Kruskal-Wallis rank sum test	0	0	0	0.12271996580969681
Lachnospiraceae (OTU 71)	15.67464114832585	0.04728092213598221	8	Kruskal-Wallis rank sum test	0	0	0	0.13251824229629813
Lachnospiraceae (OTU 135)	15.6716730284341	0.04732794367724934	8	Kruskal-Wallis rank sum test	0	0	0	0.13251824229629813
Lachnospiraceae (OTU 116)	15.617829229015626	0.048188462233778456	8	Kruskal-Wallis rank sum test	0	0	0	0.13393557885564894
Clostridiales (OTU 115)	15.594604735373924	0.04856405895153645	8	Kruskal-Wallis rank sum test	0	0	0	0.13399426484438523
Acetatifactor (OTU 165)	15.474137931034555	0.05055589136173165	8	Kruskal-Wallis rank sum test	0	0	0	0.13847918068648235
Lachnospiraceae (OTU 94)	15.363685204018125	0.05244784315359527	8	Kruskal-Wallis rank sum test	0	0	5e-4	0.14262794756876987
Lachnospiraceae (OTU 95)	14.40761837229947	0.0717404018245488	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Clostridiales (OTU 137)	14.845786516854151	0.06221432479610449	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Acetatifactor (OTU 138)	14.636222910216565	0.0666169961217217	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Clostridiales (OTU 173)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Enterococcus (OTU 187)	14.598867820704	0.06743084560721513	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Clostridiales (OTU 208)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Acetatifactor (OTU 247)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 253)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 259)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Alistipes (OTU 277)	14.279802108319561	0.07475773306531992	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 295)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 300)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 318)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 321)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 330)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Bacteroidales (OTU 334)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 362)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 372)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Clostridiales (OTU 399)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 401)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 438)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 470)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Bacteroides (OTU 474)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 514)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 537)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 544)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 545)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 554)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 570)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 577)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 589)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 595)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 599)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 610)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 616)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Phascolarctobacterium (OTU 642)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Clostridia (OTU 681)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 696)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 716)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 718)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 724)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Alloprevotella (OTU 843)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 929)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 1005)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1020)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1216)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Lachnospiraceae (OTU 1250)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1261)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1264)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1285)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Ruminococcaceae (OTU 1402)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1479)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1488)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1697)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 1955)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Enterorhabdus (OTU 2461)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
Porphyromonadaceae (OTU 4355)	14.1666666666665	0.07752341580785908	8	Kruskal-Wallis rank sum test	0	0	0	0.1487505135805621
